mainKey,'id','activity_type','order',activity_name,'instance_type','interface_id','interface_data','interface_param','activity_icon',produce_des,'is_preview','preview_schedule','activity_times','hide_button','active_degree','max_degree','min_lev','show_lev','max_lev','num_limit','active_date','active_time',active_reward,active_des,'reward_icon',reward_des,'minipack_open','lable_icon'
26,26,1,4,"""Phụ 11111""",1,26,'3',{},'richang_09',"""""",0,{},3,0,2,6,105,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Trang bị tím, trang bị vàng, phụ linh thạch""","""[b3cbff]Mở cả ngày. Thu thập [00ff00]rất nhiều phụ linh thạch[-], [E57BFF]Trang bị tím[-], có cơ hội đạt được [FFF600]trang bị vàng. [-]Nhất định phải tham gia trong ngày![-]""","{'113_1','114_1','350000_1'}","""Trang bị, Phụ linh thạch""",1,'tiaozhan'
2,2,1,1,"""Nhiệm v11111""",0,2,'3',{},'richang_02',"""""",0,{},20,0,1,10,50,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Kinh nghiệm, Xu""","""Mở cả ngày. Nhất định phải tham gia, nhận được rất nhiều kinh nghiệm.""","{'4_1','1_1'}","""Kinh nghiệm, Xu""",0,''
4,4,1,8,"""Nhiệm vụ bang""",0,4,'1_2_3',"{'0','5','0'}",'richang_04',"""""",0,{},20,0,1,10,155,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Cống hiến bang, Xu""","""Mở cả ngày. Hoàn thành nhiệm vụ bang nhận được rất nhiều Xu, cống hiến, kinh nghiệm bang giúp bang lên cấp để mở thêm nhiều hoạt động mới.""","{'14_1','1_1'}","""Xu, Cống hiến""",1,''
6,6,1,11,"""Uống rượu bang""",0,6,'1_2_3',"{'0','10','0'}",'richang_06',"""""",0,{},3,0,2,6,999,999,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Cống hiến bang""","""Mở cả ngày. Phúc lợi trọng yếu của bang, mỗi ngày đều có thể nhận thưởng. Sử dụng Vàng có thể nhận được nhiều phần thưởng hơn. Cả bang hội cùng nhau thăng cấp.""",{'14_1'},"""Kinh nghiệm""",1,''
32,32,1,7,"""Treo máy dã ngoại""",0,33,'3',{},'richang_09',"""Kinh nghiệm""",0,{},0,0,0,0,1,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Kinh nghiệm""","""Treo máy dã ngoại, thu thập được rất nhiều kinh nghiệm.""",{'4_1'},"""Kinh nghiệm""",0,''
27,27,1,3,"""Tiểu Viêm Giới""",3,28,'3',{},'fb_xyj',"""Nguyên liệu Đồng Hành""",0,{},2,0,5,10,100,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Nguyên liệu thăng cấp, tiến bậc đồng hành""","""Mở cả ngày. Vượt ải có thể nhận được kinh nghiệm đan và tiến bậc đan cho đồng hành.""","{'109_1','390000_1'}","""Nguyên liệu đồng hành""",0,''
1,1,1,6,"""Nhiệm vụ Huyền Bảng""",0,1,'3',{},'richang_01',"""""",0,{},10,0,1,10,135,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Kinh nghiệm, Xu""","""Mở cả ngày. Hoạt động nhận được rất nhiều kinh nghiệm mỗi ngày. Phẩm chất nhiệm vụ càng cao thưởng càng hậu hĩnh.""","{'4_1','1_1'}","""Kinh nghiệm, Xu""",1,'tiaozhan'
3,3,1,5,"""Đấu Trường""",0,3,'3',{},'richang_03',"""""",0,{},5,0,2,10,120,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Công huân, Chân khí""","""Mở cả ngày. Chiến thắng - đoạt hạng đối thủ để nhận phần thưởng cao hơn. Số lần khiêu chiến có thể mua thêm mỗi ngày.""",{'9_1'},"""Công huân""",0,'pk'
8,8,1,2,"""Mệnh Tinh Tháp""",0,8,'3',{},'richang_08',"""""",0,{},0,0,0,0,65,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Mệnh tinh, tinh hoa mệnh tinh""","""Mở cả ngày. Vượt tháp mở khóa mệnh tinh, thu thập các loại thuộc tính. Số tầng càng cao thưởng càng lớn""","{'310006_1','310206_1'}","""Mệnh tinh""",0,'tiaozhan'
30,30,1,12,"""Cửu U Vương Tháp""",13,30,'3',{},'fb_jy',"""Lông vũ""",0,{},2,0,5,10,195,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Lông Vũ Bảy Màu""","""Mở cả ngày. Thành công có thể nhận được rất nhiều Lông Vũ Bảy Màu, tăng sao cho Cánh""",{'359001_1'},"""Lông vũ""",0,'tiaozhan'
31,31,3,9,"""Cấm kỵ chi địa""",0,32,'3',{},'fb_zx07',"""Kinh nghiệm, Xu, Đá trang bị""",1,"{'12:10_12:20_12:30_13:30','20:50_21:00_21:10_22:10'}",10,0,1,10,230,1,500,1,"{1,2,3,4,5,6,7}","{'12:30-13:30','15:10-22:00'}","""Kinh nghiệm, Đá đúc trang bị""","""[b3cbff]Mở vào: [fff9b1]12:30:00 - 13:30:00[-] và [fff9b1]15:10:00 - 22:00:00[-] mỗi ngày. Là hoạt động PK, người chơi có thể thu thập tài nguyên để tích lũy [00ff00] kinh nghiệm, Xu, Bạc, đá đúc trang bị [-][-]""","{'140_1','1_1','3_1'}","""Đá đúc trang bị""",0,'pk'
7,7,1,15,"""Dược viên bang""",0,7,'1_2_3',"{'0','5','0'}",'richang_07',"""""",0,{},0,0,0,0,999,999,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Vật liệu linh dược""","""Mở cả ngày. Mỗi ngày có thể tại lãnh địa bang trồng dược liệu để chế tạo linh dược. Dược liệu cần thời gian sinh trưởng, có thể dùng Bạc để tăng tốc. Có thể giúp hảo hữu tưới nước, cũng có thể ăn trộm dược liệu của người chơi bang khác.""",{'105_1'},"""Vật liệu đan dược""",0,''
14,14,2,1,"""Vô Tận Thí Luyện""",12,18,'3',{},'fb_wj2',"""""",0,{},2,0,5,10,75,1,500,2,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Kinh nghiệm""","""Mở cả ngày. Thông quan nhận được rất nhiều kinh nghiệm.""",{'4_1'},"""Rất nhiều kinh nghiệm""",0,''
28,28,2,2,"""Hải Hoàng Cung """,4,27,'3',{},'fb_hhg2',"""Vật liệu cường hóa""",0,{},2,0,5,10,280,1,500,2,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Nguyên liệu cường hóa""","""Mở cả ngày. Thông quan có thể nhận được vật liệu cường hóa.""","{'352004_1','352001_1'}","""Vật liệu cường hóa""",0,''
18,18,1,14,"""Minh Tộc Xâm Lấn""",15,14,'3',{},'fb_xyj',"""Vật liệu chú hồn""",0,{},2,0,5,10,330,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Nguyên liệu chú hồn""","""Mở cả ngày. Thông quan có thể nhận được vật liệu chú hồn.""","{'4_1','500150_1','500153_1'}","""Vật liệu chú hồn""",0,''
29,29,2,4,"""Phục Giao Sơn""",5,29,'3',{},'fb_fjs1',"""Vật liệu tinh luyện""",0,{},2,0,5,10,370,1,500,2,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Nguyên liệu tinh luyện""","""Mở cả ngày. Thông quan có thể nhận được vật liệu tinh luyện.""","{'351000_1','351012_1','351013_1'}","""Vật liệu tinh luyện""",0,''
5,5,3,1,"""Cổ Ma""",0,9,'3',{},'richang_05',"""""",0,{},3,0,2,6,90,1,500,2,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Trang bị cam""","""Khiêu chiến Cổ Ma, đội ngũ gây sát thương cao nhất sẽ nhận được vật phẩm thưởng. Mỗi ngày nhận được tối đa 3 lần ban thưởng""","{'115_1','320_1','500113_1'}","""Trang bị cam""",0,'tiaozhan'
15,15,3,3,"""Thượng giới tranh bá""",0,15,'3',{},'huodong_05',"""""",1,{'16:15_19:50_20:00_20:18'},2,0,5,10,120,1,500,1,"{1,3,5,6}",{'20:00-20:30'},"""Bảo thạch, công huân, nguyên liệu thần khí""","""[b3cbff][fff9b1]Vào 20:00 - 20:30 Thứ 3, 5, 6, Chủ nhật hàng tuần.[-] sẽ mở ra Thiên Môn để luyện tập đối kháng với Ma Chủ. Người chơi chia làm 2 phe Chính - Tà công thủ lẫn nhau, kẻ thắng làm vua![-]""","{'370118_1','400000_1','401000_1','9_1','506060_1'}","""Bảo thạch, Công huân""",0,'pk'
19,19,3,5,"""Tụ họp bang""",0,31,'1_2_3',"{'0','9','0'}",'huodong_08',"""""",1,{'20:18_20:20_20:30_20:45'},1,0,5,5,1,1,500,1,"{1,2,3,4,5,6,7}",{'20:30-20:45'},"""Cống hiến bang, kinh nghiệm""","""[b3cbff]Hoạt động bang hội. Người chơi khi tham gia sẽ được đưa về lãnh địa bang để đốt lửa sưởi ấm, đồng thời nhận được rất nhiều kinh nghiệm và cống hiến bang hội.[-]""","{'4_1','14_1'}","""Kinh nghiệm, Cống hiến""",0,''
13,13,3,4,"""Ma Chủ""",0,10,'3',{},'huodong_03',"""""",1,{'16:15_19:50_20:00_20:30'},1,0,10,10,120,1,500,1,"{2,4,7}",{'20:00-20:30'},"""Trang bị đỏ""","""[b3cbff][fff9b1]Sự kiện sẽ khai mở vào 20:00:00 - 20:30:00 Thứ Hai, Thứ Tư và Thứ Bảy hàng tuần.[-] Người chơi có thể thoả thích chiến đấu, dương danh thiên hạ. Xếp hạng càng cao, quà thưởng càng hậu hĩnh![-]""","{'500300_1','358006_1','506060_1','15_1'}","""Trang bị đỏ""",0,'tiaozhan'
17,17,3,6,"""Thủ lĩnh bang""",0,17,'1_2_3',"{'0','3','0'}",'huodong_07',"""""",1,{'20:40_20:50_20:59_21:14'},1,0,0,0,130,1,500,1,"{2,4,5,7}",{'21:00-21:15'},"""Mảnh đồng hành vàng""","""[b3cbff]Hoạt động bang hội. [fff9b1]Khai mở vào 21:00:00 - 21:15:00 Thứ Hai, Thứ Tư, Thứ Năm và Thứ Bảy hàng tuần. [-]Tại lãnh địa bang sẽ xuất hiện 3 đại cao thủ để cả bang cùng khiêu chiến. Khiêu chiến thành công sẽ nhận được nhiều quà thưởng hậu hĩnh![-]""","{'115_1','506050_1','350000_1','359011_1'}","""Trang bị cam, Cánh""",0,''
16,16,3,7,"""Bang chiến""",0,16,'1_2_3',"{'0','8','0'}",'huodong_06',"""""",1,{'20:40_20:50_20:59_21:14'},1,0,10,10,45,1,500,1,"{3,6}",{'21:00-21:15'},"""Nguyên liệu thần khí""","""[fff9b1]Từ 05:10 thứ 2 đến 19:30 thứ 6[-] có thể báo danh. [fff9b1]21:00 thứ 3, thứ 6[-] sẽ diễn ra bang chiến. Thắng lợi có cơ hội nhận được trang bị đỏ, vật liệu thần khí, mảnh tọa kỵ""","{'116_1','506050_1','358007_1','500156_1','500157_1'}","""Trang bị đỏ, Thần khí""",0,''
33,33,3,2,"""Vua xảo quyệt""",0,34,'3',{},'fb_hhg',"""""",1,{'8:00_11:50_12:00_12:10'},1,0,5,5,110,1,500,1,"{1,2,3,4,5,6,7}",{'12:00-12:10'},"""Kinh nghiệm, Xu""","""[fff9b1]Buổi trưa hàng ngày[-], tham gia nhận rất nhiều kinh nghiệm, Xu.""","{'4_1','1_1'}","""Xu, Kinh nghiệm""",0,''
34,34,3,15,"""Rương báu Quỷ Vương""",0,35,'3',{},'fb_hhg',"""Vật liệu cường hóa""",1,{'15:30_15:55_16:00_16:15'},20,0,1,20,1,1,500,1,"{1,2,3,4,5,6,7}",{'16:00-16:15'},"""Xu, vật liệu cường hóa""","""[fff9b1]Mở vào 16:00 mỗi ngày[-], tham gia nhận rất nhiều kinh nghiệm, Xu, các loại nguyên liệu.""",{'1_1'},"""Các loại vật liệu""",0,''
35,35,3,16,"""Thượng cổ yêu thú""",0,36,'3',{},'richang_10',"""""",1,"{'13:30_15:55_16:00_16:15','16:15_16:20_16:30_19:30'}",6,0,2,12,100,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Mảnh tọa kỵ""","""Xuất hiện sẽ có thông báo. Tiêu diệt BOSS có thể nhận được mảnh tọa kỵ, trang bị đỏ.""","{'116_1','358014_1','390000_1','359001_1'}","""Trang bị đỏ, mảnh tọa kỵ""",0,'tiaozhan'
37,37,3,99,"""Tiệm tinh thạch""",0,37,'3',{},'richang_11',"""""",1,"{'08:00_08:50_09:00_10:00','12:00_12:50_13:00_14:00','14:00_14:50_15:00_16:00','17:00_17:50_18:00_19:00'}",0,0,0,0,1,1,500,1,"{1,2,3,4,5,6,7}","{'09:00-10:00','13:00-14:00','15:00-16:00','18:00-19:00'}","""Tinh Thạch""","""Tiệm mua Tinh Thạch""","{'520004_1','520005_1','520006_1'}","""Vô cùng trân quý""",0,''
//20,20,1,15,"""Kiếm Trủng""",0,19,'3',{},'richang_07',"""""",0,{},0,0,0,0,100,1,500,1,"{1,2,3,4,5,6,7}",{'00:00-23:59'},"""Kinh nghiệm""","""Mở cả ngày. Nhận được rất nhiều kinh nghiệm, chú ý tránh né các loại thiên lôi công kích.""",{'4_1'},"""Rất nhiều kinh nghiệm""",0,''
